scorer,,,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation
labeled-data,0085,A_male_meet_with_a_female_face_view_3_2022-08-10_15-43-17_1072.png,242.4292798623715,179.10877775408667,341.7996592492851,236.22718480325776,251.81860704853653,228.4027454814533,281.5514764713926,211.97142290566453,261.2079342347016,198.66987605859728,321.4561170125941,198.66987605859745,305.0247944368053,183.8034413471694,339.4523274527438,190.06299280461283,399.7005102306363,216.66608649874738,300.3301308437227,189.28054887243232,364.49053328251733,276.13182534445934,335.5401077918417,213.5363107700255,326.1507806056767,206.49431538040167,351.18898643545015,203.36453965168008,308.15457016552693,226.05541368491217,355.8836500285327,225.27296975273188,327.7156684700375,229.96763334581433,316.7614534195116,275.34938141227883
labeled-data,0085,A_male_meet_with_a_female_face_view_3_2022-08-10_15-43-17_1106.png,161.837554847788,198.669876058597,362.1432014859761,311.34180229257834,180.61620922011815,273.0020496157372,220.52084976131968,219.79586222746858,201.74219538898953,211.1889789734839,275.2919250139492,254.22339524340728,250.25371918417574,209.62409110912316,287.0285839966555,245.61651198942266,353.53631823199146,240.92184839634032,232.257508744026,165.8072309070195,405.96006168807975,256.5707270399489,241.64683593019106,187.7156610080713,267.467485692145,179.8912216862672,271.3797053530471,174.41411416100422,296.4179111828206,204.92942751604076,312.8492337586095,198.6698760585974,330.0630002665788,207.27675931258213,395.7882905697342,247.1813998537838
labeled-data,0085,A_male_meet_with_a_female_face_view_3_2022-08-10_15-43-17_1146.png,263.4240507928616,160.27272633672231,334.0900462816928,267.8420750252766,312.89024763504347,184.61323589398637,297.9718708096235,170.48003679622013,325.4530912775024,169.69485906856642,281.48313852889623,208.95374545125054,316.0309585456582,216.0203450001336,284.62384943951093,223.08694454901678,308.17918126912133,260.7754754763934,246.15014078448058,133.57668359649716,375.704465847338,227.7980109149388,367.0675108431475,219.1610559107483,365.4971553878401,189.32430225990845,349.00842310711283,190.1094799875621,331.73451309873184,157.1320154261075,323.09755809454134,161.05790406437592,316.8161362733119,142.99881632834126,250.076029422749,164.19861497499073
labeled-data,0085,A_male_meet_with_a_female_face_view_3_2022-08-10_15-43-17_1216.png,281.48313852889623,104.52510767331091,345.8677121964981,258.41994229343237,324.6679135498487,121.79901768169185,312.89024763504347,111.59170722219403,333.3048685540392,117.87312904342343,297.18669308196985,168.90968134091275,324.6679135498487,178.3318140727569,302.68293717554565,188.5391245322548,323.882735822195,252.13852047220297,209.24678758475756,178.33181407275697,325.4530912775024,325.94522687164897,301.11258172023827,202.67232363002103,286.1942048948183,191.67983544286955,315.2457808180045,194.03536862583053,253.2167403333637,219.94623363840208,290.12009353308673,235.6497881914757,257.1426289716321,237.22014364678307,271.27582806939836,312.59720550153645
labeled-data,0085,A_male_meet_with_a_female_face_view_3_2022-08-10_15-43-17_1265.png,370.2082217537622,209.73892317890414,480.13310362527756,318.87862732276574,459.71848270628186,296.89365094846266,462.8591936168966,240.3608545573976,422.81512950655883,244.28674319566608,451.8667054297451,243.50156546801236,391.4080204004116,249.78298728924187,411.8226413194073,242.7163877403587,399.25979767694844,215.23516727247988,282.2683162565499,172.83556997918117,384.3414208515285,259.9902977487397,381.98588766856744,203.4575013576747,365.4971553878401,177.5466363451032,380.41553221326006,186.96876907694735,324.6679135498487,205.02785681298207,352.9343117453812,212.87963408951885,329.3789799157708,219.16105591074836,295.61633762666247,252.13852047220297
labeled-data,0085,A_male_meet_with_a_female_face_view_3_2022-08-10_15-43-17_1310.png,172.34343438503456,52.70337764816804,378.8451767579527,312.59720550153634,211.6023207677186,66.83657674593425,232.01694168671432,95.88815266912044,268.9202948864373,92.74744175850572,285.40902716716465,234.86461046382198,257.1426289716321,235.6497881914757,298.7570485372772,245.8570986509735,360.78608902191803,252.92369819985663,90.6849507090517,1.6668253506788062,222.59480895487013,314.16756095684383,102.46261662385693,2.4520030783324955,120.52170435989159,2.452003078332467,142.50668073419465,3.237180805986128,175.48414529564926,121.0138399540383,140.1511475512336,125.72490631996038,173.9137898403419,144.56917178364876,192.75805530403025,281.97527412304294
labeled-data,0085,A_male_meet_with_a_female_face_view_3_2022-08-10_15-43-17_316.png,157.4250575596146,199.53161271940644,344.29735674119075,334.58218187583947,330.16415764342446,304.7454282249996,323.09755809454134,225.44247773197782,290.12009353308673,227.0128331872852,246.93531851213424,246.64227637862723,221.02445349956278,261.5606532040472,224.1651644101775,289.8270513995797,193.54323303168394,281.1900963953893,85.18870661547594,-0.6887078322822333,243.00942987386586,337.7228927864543,102.46261662385693,3.2371808059861564,166.8471902914588,0.09646989537139916,131.5141925470431,-0.6887078322822617,178.62485620626398,114.73241813280885,137.79561436827257,111.59170722219415,165.2768348361514,169.69485906856653,201.39501030822075,307.1009614079607
labeled-data,0085,A_male_meet_with_a_female_face_view_3_2022-08-10_15-43-17_323.png,266.6850410137679,212.75386683784404,479.5097905668427,315.25402195347925,459.16624833015175,240.1394044641587,446.647145415265,221.3607500918286,470.1204633806777,221.36075009182855,384.0516308408312,266.74249815829313,448.99447721180627,276.13182534445815,391.093626230455,310.55935836039674,275.2919242677525,306.64713869949475,292.5056907757218,174.41411416100334,348.8416538927122,234.66229693889585,318.3263405376758,187.71566100807053,303.45990582624773,186.15077314370967,326.15077985948,179.8912216862663,308.15456941933024,215.1011986343853,338.6698827743667,208.84164717694188,322.2385601985779,221.36075009182866,323.0210041307583,237.7920726676175
labeled-data,0085,A_male_meet_with_a_female_face_view_3_2022-08-10_15-43-17_494.png,327.7156677238408,189.28054887243132,420.04405172113064,258.13561490430845,339.4523267065471,229.96763334581328,341.017214570908,194.7576563976943,360.57831287541853,199.4523199907768,377.00963545120743,225.27296975273072,409.87228060278517,220.5783061596482,398.91806555225924,232.31496514235454,355.883649282336,219.7958622274678,210.3490778967775,194.7576563976944,262.7728213528658,266.7424981582932,225.99795654038593,260.4829467008498,248.6888305736182,222.14319402400912,215.82618542204045,214.31875470220496,259.64304562414407,206.49431538040068,223.65062474384467,199.4523199907769,241.64683518399437,205.71187144822028,241.64683518399437,205.71187144822028
labeled-data,0085,A_male_meet_with_a_female_face_view_3_2022-08-10_15-43-17_814.png,233.03995193000972,190.0629928046119,376.227191519027,243.26918019288047,243.99416698053562,219.01341829528747,267.4674849459483,211.1889789734832,261.9903774206854,201.0172078551377,325.36833592729954,217.44853043092655,325.36833592729954,214.31875470220484,347.27676602835135,218.23097436310695,373.8798597224857,225.27296975273072,,,,,,,,,,,,,,,,,,
labeled-data,0085,A_male_meet_with_a_female_face_view_3_2022-08-10_15-43-17_831.png,240.86439125181397,185.36832921152927,377.00963545120743,242.4867362607,247.12394270925734,226.8378576170917,265.9025970815875,203.36453965167897,264.33770921722663,193.9752124655139,310.50190121587156,226.05541368491123,323.8034480629387,209.62409110912233,328.49811165602125,227.62030154927203,369.1851961294032,232.31496514235454,338.6698827743667,103.9941602647653,402.83028521316135,244.83406805724127,353.53631748579477,109.47126779002826,347.27676602835135,114.16593138311077,367.62030826504235,113.38348745093037,350.40654175707306,179.89122168626625,373.8798597224857,178.3263338219054,369.1851961294032,191.62788066897258,396.570733755718,239.3569605319783
labeled-data,0085,A_male_meet_with_a_female_face_view_3_2022-08-10_15-43-17_917.png,267.4674849459483,147.02857653468857,370.75008399376406,243.26918019288047,319.8912284020366,170.50189450010123,314.41412087677367,149.37590833122982,331.6278873847429,163.4598991104774,272.94459247121125,208.05920324476153,310.50190121587156,212.75386683784404,286.24613931827844,222.14319402400912,360.57831287541853,237.0096287354371,314.41412087677367,183.02099741498796,434.1280425003782,248.74628771814338,322.2385601985779,221.36075009182866,343.36454636744924,191.62788066897258,323.0210041307583,186.93321707589007,373.0974157903053,212.753866837844,374.6623036546662,192.41032460115298,384.0516308408312,215.10119863438524,419.26160778895024,234.6622969388958
labeled-data,0085,A_male_meet_with_a_female_face_view_3_2022-08-10_15-43-17_986.png,272.16214853903085,155.63545978867324,348.0592099605318,253.44095131122594,341.017214570908,202.5820957194985,323.0210041307583,159.5476794495753,331.6278873847429,166.58967483919912,284.68125145391764,198.6698760585964,301.8950179618869,207.27675931258108,286.24613931827844,221.36075009182866,314.41412087677367,246.39895592160218,327.7156677238408,175.97900202536414,411.43716846714597,225.27296975273072,333.19277524910376,216.6660864987461,350.40654175707306,194.7576563976943,333.9752191812842,191.62788066897258,380.1394111799291,200.2347639229572,379.3569672477487,197.88743212641594,393.44095802699627,202.58209571949845,388.74629443391376,229.96763334581328
labeled-data,0085,A_male_meet_with_a_female_side_view_4_2022-08-10_15-43-20_1184.png,201.74219464279284,220.57830615964832,361.360756807599,301.1700311742317,352.7538735536143,291.78070398806665,338.6698827743667,241.7042923285196,315.19656480895407,250.3111755825043,275.2919242677525,250.3111755825043,254.16593809888116,262.0478345652107,247.90638664143773,258.91805883648897,211.13152182895791,237.79207266761762,446.647145415265,211.97142290566353,561.666403445787,319.16624161438125,456.8189165336105,245.61651198942167,465.4257997875951,225.27296975273066,487.334229888647,219.0134182952873,511.58999178624003,269.8722738870147,550.7121883952611,257.35317097212794,538.1930854803744,285.52115253062317,474.0326830415798,322.296017343103
labeled-data,0085,A_male_meet_with_a_female_side_view_4_2022-08-10_15-43-20_1213.png,293.28813470790226,208.05920324476148,481.857122363384,282.3913768019015,312.06678908023235,270.6547178191953,341.017214570908,229.18518941363288,301.8950179618869,222.92563795618952,359.01342501105773,226.05541368491117,343.36454636744924,214.31875470220484,385.61651870519205,242.4867362607,469.3380194484972,253.4409513112259,,,307.37212548714984,97.73460880732196,485.7693420242861,326.2082370040051,477.9449027024819,108.68882385784775,404.3951730775222,114.16593138311077,409.87228060278517,276.13182534445815,342.58210243526884,263.6127224295715,334.7576631134646,283.9562646662624,349.62409782489266,289.4333721915254
labeled-data,0085,A_male_meet_with_a_female_side_view_4_2022-08-10_15-43-20_1230.png,348.0592099605318,243.26918019288047,563.2312913101479,305.0822508351337,373.0974157903053,297.2578115133296,428.65093497511526,256.5707270399476,407.52494880624386,240.13940446415876,494.37622527827074,265.1776102939322,488.1166738208274,230.75007727799363,521.7617629045856,247.18139985378247,528.0213143620289,222.14319402400895,255.730825963242,199.45231999077686,484.98689809210566,265.9600542261126,462.29602405887346,219.79586222746775,434.9104864325587,208.84164717694182,434.9104864325587,208.84164717694182,385.61651870519205,236.22718480325665,386.3989626373725,237.00962873543705,356.6660932145164,242.48673626070007,267.4674849459483,262.0478345652107
labeled-data,0085,A_male_meet_with_a_female_side_view_4_2022-08-10_15-43-20_211.png,370.75008399376406,233.097409074535,561.6664034457871,305.8646947673141,387.1814065695529,297.25781151332956,436.4753742969195,254.22339524340634,415.3493881280481,244.83406805724127,506.8953281931575,272.219605683556,487.334229888647,226.83785761709152,,,,,,,,,,,,,,,,,,,,,,
labeled-data,0085,A_male_meet_with_a_female_side_view_4_2022-08-10_15-43-20_336.png,398.13562162007884,213.5363107700244,597.6588243260865,311.34180229257703,600.7886000548082,251.87606344686498,572.620618496313,220.5783061596481,539.7579733447352,234.66229693889568,528.8037582942093,246.39895592160207,503.7655524644358,261.2653906330301,491.2464495495491,259.70050276866925,413.0020563315068,260.4829467008497,128.19246501783317,209.62409110912245,343.36454636744924,307.4295826316751,132.88712861091568,254.22339524340651,143.8413436614416,226.0554136849113,143.8413436614416,226.0554136849113,181.39865240610186,254.22339524340651,210.3490778967775,244.05162412506098,211.13152182895791,267.52494209047364,333.9752191812842,302.7349190385926
labeled-data,0085,A_male_meet_with_a_female_side_view_4_2022-08-10_15-43-20_708.png,100.8069273915184,110.25371172220883,287.8110271826393,291.7807039880667,114.10847423858557,118.86059497619345,138.36423613617865,125.12014643363682,141.49401186490033,121.99037070491516,152.44822691542626,236.22718480325682,182.96354027046272,221.36075009182878,179.83376454174103,243.26918019288058,259.64304562414407,275.34938141227786,460.7311361945126,68.78418331664622,595.3114925295453,315.25402195347914,603.1359318513495,77.39106657063078,563.2312913101479,107.9063799256673,593.7466046651843,233.87985300671522,553.0595201918024,221.3607500918285,538.9755294125548,240.9218483963391,470.1204633806777,284.73870859844277,,
labeled-data,0085,A_male_meet_with_a_female_side_view_4_2022-08-10_15-43-20_773.png,513.9373235827813,48.44064107995521,626.6092498167621,308.2120265638553,616.4374786984166,46.8757532155943,592.964160733004,51.57041680867684,628.1741376811229,57.829968266120204,571.0557306319521,126.68503429799739,613.3077029696949,131.3796978910799,580.4450578181172,170.50189450010106,540.5404172769156,295.69292364896864,,,,,,,,,,,,,,,,,,
labeled-data,0085,A_male_meet_with_a_female_side_view_4_2022-08-10_15-43-20_813.png,163.40244196595216,203.36453965167902,416.91427599240893,280.8264889375407,165.74977376249342,258.918058836489,192.3528674566278,225.27296975273083,182.96354027046272,224.49052582055043,253.3834941667007,231.5325212101742,264.33770921722663,222.14319402400912,280.7690317930155,236.2271848032567,406.74250487406346,263.6127224295714,161.05511016941088,219.01341829528752,305.0247936906086,310.5593583603968,176.70398881301935,301.17003117423184,217.39107328640128,241.70429232851973,182.96354027046272,236.22718480325676,261.2079334885049,259.70050276866937,236.95217159091186,229.18518941363294,274.5094803355721,269.08982995483444,287.0285832504589,261.2653906330302
labeled-data,0085,A_male_meet_with_a_female_side_view_4_2022-08-10_15-43-20_831.png,88.28782447663164,46.093309283414214,252.6010502345203,277.6967132088191,95.32981986625545,60.17730006266183,132.10468467873528,60.95974399484223,133.6695725430961,57.04752433394009,123.49780142475065,156.41790372085376,146.9711193901633,150.9407961955908,146.9711193901633,172.0667823644622,241.64683518399437,272.21960568355615,,,,,,,,,,,,,,,,,,
labeled-data,0085,A_male_meet_with_a_female_side_view_4_2022-08-10_15-43-20_961.png,108.63136671332262,182.23855348280767,292.5056907757218,299.6051433098709,117.23824996730725,200.23476392295737,143.05889972926119,193.975212465514,161.8375541015913,197.10498819423566,175.1391009486585,282.3913768019017,228.3452883369272,253.44095131122606,235.387283726551,283.1738207340821,255.73082596324195,264.39516636175193,106.28403491678135,93.82238914641997,179.0513206095606,264.395166361752,122.71535749257022,102.42927240040461,162.61999803377174,114.16593138311089,164.1848858981326,107.90637992566752,141.49401186490033,182.23855348280767,142.27645579708076,182.23855348280767,145.40623152580244,237.00962873543722,204.08952643933412,274.56693748009747
labeled-data,0085,A_male_meet_with_a_female_top_view_1_2022-08-10_15-45-58_1033.png,315.19656480895407,210.40653504130273,531.933534022931,331.6853445292681,520.979318972405,308.21202656385543,508.4602160575183,286.30359646280357,509.2426599896987,316.81890981784005,442.7349257543629,273.00204961573644,438.8227060934608,333.25023239362895,410.65472453496557,291.7807039880666,320.67367233421703,219.0134182952874,,,,,,,,,,,,,,,,,,
